Title,Description,Label
"Works great!","Works great after setup but setup can be a little opaque.","positive"
"new echo","much better sound on the new echo","positive"
"Doesn't work like you'd expect. Waste of money and time.","This will not play both speakers except Amazon music. I tried for hours to get sound from TV with no luck. Showed to be connected, but no sound. Connected phone, but only 1 speaker played. Could control volume from either, but only got sound from one. Waste of money.","negative"
"Easy to setup - Easy to use - Great sound","I'm not techy and this was my first venture into the Smart Home world. I bought two (one for upstairs and one in the kitchen) and a 4-pack of Hue bulbs. Out of the box, this thing was super easy to setup, it basically did everything for me or gave clear instructions on what I needed to do. Linking the two Echos was a breeze in the app. Speaking of the app, creating groups and routines in the Alexa app is very easy and fun. I haven't manually turned on a lamp since! SOUND QUALITY IS BETTER THAN I IMAGINED FROM A DEVICE THIS SIZE. The sound coming out of this little thing really is impressive!PROS:1. Easy setup.2. Easy device integration. (Alexa, find my devices.) It doesn't get any easier than that.3. Responsive AI, even with my mid-western draw.4. GREAT SOUND QUALITY!The only CONS I have (and these are both pretty minor):1. I can't get my Bluetooth speaker to link when the Echo speakers are playing as a group (I think this is because each Echo speaker can only be linked to either another Echo or one Bluetooth device)2. If one speaker is playing music I can't get it to switch to the group for both speakers without stopping the music and restarting with a new command. (ex. I'd like to be able to say Alexa, play this song on Both Speakers. but that doesn't work; I have to say Alexa, stop. then Alexa, play [whatever music] on Both Speakers.)But both of those seem link minor things to me and not worth docking a star. I'd recommend this product for sure.","positive"
"Average Sound but amazing microphones","I mainly got this because I wanted a small speaker for my house that doesn't require my phone to play music. I work in the live sound/event field so I am really picky when it comes to speaker quality and already have a professional sound system in my house but rarely use it since I never feel like plugging my phone into it. I love the fact that I can simply say a song or artist and Alexa will play it even without using bluetooth or having my phone on me. I hate how with normal bluetooth speakers people can hear your phone ring and such if you have the sound on and are forced to put your iPhone into silent mode. That being said I was a little disappointed that most of the songs I wanted to hear weren't covered by the normal Prime membership and required me to upgrade my prime music subscription (why would they charge more for certain songs??). The sound quality itself I would say is average for a small bluetooth speaker. I was impressed by the bass and low end but vocals seem slightly muffled and could be a lot crisper. The microphone sensitivity on the new echo plus is really what impressed me most, being in the same room as the echo I can practically whisper and it still hears me perfectly. Even being multiple rooms away in another part of the house she hears me at a normal voice level. This was unexpected since I am used to having to shout at Siri with my iPhone right next to me. Overall even though its not amazing sound quality I feel like for only  $150 its a really good deal for all that it can do and if you are looking for amazing sound you should be spending a lot more.","neutral"
"Needs a better mic","Planed on replacing one of my dots with this in the living room. Felt like the dot could pick up when I said Alexa at a normal voice. With the plus I feel like I need to scream.","negative"
"Better sound, great connectivity, looks better, and turns on the lights","I am a huge fan of the Echo. I have the tap, the dot, the standard Echo and an Echo smart speaker, and now the plus.This one is definitely a step up. The best sound and response of all the previous models.In a nut shellThe dot is ok. Limited quality sound but small and unobtrusive. Nice for  a bedside alarm, weather information and morning news while shaving.The tap is the portable and battery powered option that I use in the morning. I listen to a streaming cable news show. I listen to it while in the shower, (it is not waterproof but I have a shelf far from water that it sits on), then while I shave, and I put it in the closet while getting ready and dressed. It's like a portable radio but it allows me to stream internet cable and listen to anything I want.The standard Echo and Echo with smart options is a great device. The addition of the smart features is ok. It allows you to turn on lights and fixtures, but going into a dark room and saying, Alexa, turn on lights! is not as easy as flipping a switch. It is ok for lights that are not near the bed and your heading to sleep. But, you'll wake people up by shouting the wake up command.This one is good for two reasons:1.) The sound is great. Better than the others.2.) I got a smart switch and can use it to turn on any number of devices. The hook up was easy and flawless.Also,Alexa is adding new skills. If you use a sound machine, she has a sound maker for sleeping. Wake up to the weather, the stock market, the news, a fact from history, and a joke of the day.If you are on the cusp of buying this device, making this your first Echo would be a great choice. If you have an Echo or tap, this is a good upgrade.","positive"
"Alexa is the Queen of Smart-homes!","It's hard to say everything she does so well, but the smart home hub is definitely the best par. Alexa, turn on the living room lights Alexa, turn the fireplace on Alexa, lock the front door ...are just a few of the commands we use everyday. There is no better smart home device on the market. Period.","positive"
"Same thing new look.","Couldn’t tell a difference between the “premium sound” and normal sound from our old echo plus. Literally just paying for a new look it seems like.","negative"
"Must have","Wonderful device.","positive"
"The biggest learning curve is understanding how Alexa pulls information and from where.","There are many bugs in the product that requires correcting, so I am happy to hear Amazon say Alexa is always learning. The Bluetooth connection breaks up when connecting to a my Macbookpro Bluetooth speaker. Invocations for Skills do not always work for some developers and Alexa does not pick up on this issue and recommends actions that is not related to the command.  When sending a command to open a radio station on one of the radio channels Alexa does not recognize the command and continuous to open to incorrect station.  Even though I send feedback to the app to indicate that it was the incorrect station, I continue to get the same results.  The system is not learning my most frequent commands.  But the sound is great, the system is practical for timing and mathematical conversions, the list function is GREAT! The biggest learning curve is understanding how Alexa pulls information and from where.  Once you learn the way to structure commands and where it should come from (i.e. Skills, Amazon Music...etc.) you can make good use of it. There were basic search engine requests given that Alexa didn't know.  This makes me wonder what search engine or data base is it pulling information from.  There shouldn't be any different between typing in the Google Search Engine and getting a result and asking Alexa a questions and getting a similar result.","negative"
"excellent product","excellent product works awesome","positive"
"Would have been a five star BUT!","Great sound. Works well paired with a secondPlus and the sub woofer BUT....It came as a surprise to me that it does not work with my TV or the Fire Cube. Not a substitute for my sound bar.","neutral"
"Alexa hits another home run","I purchased this in a bundle and was happy when it finally all came in.  Yes, it did not come all together.  It paired without problems and updated itself in about 10 minutes.  The sound is rich and room filling with very little distortion.  Alexia responds and adjusts in a few seconds.  The sound is even better than the first which was good considering its limitations. This is the wilder,  louder and better sister.  LOL, I use it every day and have to say it is Awesome. If you have trouble pairing, delete the set and then recreate the set.  it works, A+  If this was helpful please indicate, I purchased this and use it daily.","positive"
"Alexa is my new fun!!!","I love Alexa, the sound is clear when playing music and the bass sounds great","positive"
"Greatly improved sound quality","Much improved sound. Great that it can pair. Good without sub, great with.","positive"
"very productive device","I've only had a few days but I love it so far. I'm listening to music, got plugged into smart devices, and Alexa keeps up with my scheduling.","positive"
"Quality","Liked everything","positive"
"Awesome Echo Plus","Echo Plus surpassed my expectations","positive"
"Best smart home assistant.","Never had to call Alexa more than once. With the smart hub built in it is the best smart assistant device you can get if you want a smart home.","positive"
"Exceeded my expectations","I had been using a 2nd generation Dot in conjunction with an older Bose Bluetooth speaker which my spouse would run off with periodically, so when Amazon offered a good trade-in discount (and the Bose was missing again), I took advantage and ordered the sandstone speaker. I guess I was prepared to be disappointed in sound compared to the Bose, but this sounds great! Can’t really notice a difference! It’s nice not to have to separately turn the Bose on (how lazy is that?). It works great with the free Hue bulb,  though I had to power the bulb off and on again to put it into pairing mode, apparently, because the Echo couldn’t find it at first. I feel it’s a good value and I’m really happy with the purchase.","positive"
"Worthwhile after cumbersome set up","Once set up, amazing sound!  Make sure you have blue tooth activated, plug in echo plus, then click on settings and add device.  I connected both echo plus speakers and then the subwoofer for excellent surround sound.","neutral"
"Wrong One! Wrong Color","I got the wrong color and it was for a Birthday Gift and she’s  800 miles away from me! I always order through you for Christmas, Gifts and for her to get the wrong one was very upsetting!","negative"
"Echo plus great sound. Doesn’t pair simultaneously with standard echo and sub.","Four stars because I like the sound but minus one because you can’t add two different types of echos with the echo sub at the same time.  Two Like kind echos only sync simultaneously with the new echo sub. Epic fail for a technology company.","neutral"
"very nice with a couple small issues","to no surprise, the sleep timer doesn't work on this like the 2nd gen echo. I've been back and forth trying to get it fixed but it's something the devs have to fix and it's clear it'll take some time.however, the speaker quality is amazing on this. I watched a few shows and it sounded like I was in a movie theater. there is a super slight delay though (I'm using the line in feature, something new I believe - super useful, should have always been a feature).one last thing I find useful is the room temperature feature. I dunno if this was in the first echo plus, but it's nice to have.","neutral"
"Love it!","The sounds is great and it can hear me from across the room.","positive"
"not compatible","does not work with my wifi plugs like the Echo does","negative"
"Interesting","Easy to use and sounds better then the others.However, the light ring started turning green and and would a a pulsating thing. when I looked up what the color meant I read that either I was getting an incoming call or something was eavesdropping on me. immediately put it into do not disturb and after that I never saw the light again. I have multiple Alexa devices and have never had this happen.","neutral"
"Wonderful Sound!","So like most of the people here, setting up was a little frustrating and took about 30 minutes to figure out.  I did not have to download any update as my Alexa app was already updated.  Once I figured out how to pair all three speakers in the app, everything went smoothly and I LOVE the sound!  Even on lower sound levels, it's rich and wonderful.  For some reason, my old Alexa also plays in the group that I created - I have it in the Kitchen so there's music in the entire lower floor.  I really like the surround sound effect that the speakers create as well. I was a little hesitant buying two Echo Plus devices but I'm really glad that I did due to the sound quality and it's nice having a built in hub that can tell me the ambient temperature of the house.  I've already added a few Hue bulbs both upstairs and downstairs without a hitch and it's nice to be able to control them and my thermostat from my bedroom upstairs.  I highly recommend this combination from Amazon.  It's not super high-end but it doesn't have that price tag either.","positive"
"Much better.","Perfect. All around.","positive"
"It can hear me from across the room","Great for listening to music","positive"
"unbelievable","i enjoy every minute of listening to the music.....","positive"
"Great service","Very pleased and was delivered as promised!","positive"
"Great echo device","Excellent audio, better than the old version, easy to install","positive"
"Very poor speaker","Traded in my 1st gen Echo for new model.  Like the compact size - but sound quality is very poor.  My original Echo had a much better sound.  If you have the 1st gen device - keep it.  Don’t upgrade.","negative"
"Signal has been a bit spotty, but I love them...","Let's see.","neutral"
"Impressive","Very versatile.","positive"
"Great product ❤️","The best ❤️❤️","positive"
"Good sound but didn’t work anymore","Doesn’t power up after 3 days of use","neutral"
"Great Sound","Easy setup and linking with other Amazon devices. Sounds deeper than second generation Echo, slightly larger footprint but totally worth it.","positive"
"Surprisingly better sound than my first Echo.","I thought it would be hard to improve the sound from my first Echo in such a compact unit, but they accomplished that in this Echo plus. I have used the built in hub yet, because I mainly use it for music when I'm cooking. But I'm sure I'll eventually venture into the Alexa controlled gadgets before long. I'm completely satisfied so far and I don't expect that to change. If you're even thinking about buying one, go ahead and do it, you won't regret it. Thank you guys and God bless.","neutral"
"works  great","works  great","positive"
"Ask Alexa. What does the fox say?","My children asked Alexa,”What does the Fox say?”, at least 35 times a day. I laugh every single time. Love this newest Echo. Great sound quality and mic pick up.","positive"
"I love the sound quality","I love the excellent sound quality, however I don’t like the fact that you have to buy a separate battery pack for it.","positive"
"Sounds very good a mid to low volumes","Good sound but when pairing with a 2.1 system it’s a bit quirky.  Remote will not work as per amazon","neutral"
"Great product","Great product. Sounds great and easy hook up","positive"
"Much like previous models","Meh!sound not that great, especially treble.I’ve had all the models and this one was not much of an improvement, so I returned it.","negative"
"Try try again it's bound to work","Hard to setup at first, but once you get the hang of it it gets pretty simple so don't be afraid to keep on trying it'll work.","positive"
"great item","getting lots of use out of alexa","positive"
"Music is at a Whole New Level!!  Sounds Awesome!!","Music sounds so Awesome with this setup.  The 2 Echo Plus’s and the Sub Woofer bring music to a whole new level!!","positive"
"Bluetooth issue","I love this but it needs an update for the Bluetooth since I can’t use another app with sound when using Bluetooth from my phone","positive"
"Amazing new features","I think the product is amazing. It was easy to set up. I was able to set up light fixtures and home music system. I have morning routines programmed as well as my daily calendar.Love this product!!!","negative"
"Dynamite comes in small packages.","This thing is awesome! Excellent bass and overall sound quality and the built-in smart light hub is pretty sweet. It exceeded my expectations.","positive"
"I like the skills, not the sounds","I replaced my Google home mini with this product. I feel like it has much more productivity, but it sounds like Alexa is talking they a tunnel.  I love the zigabee hub that makes it work with Philips Hue bulbs.  Gonna wait and hope I get used to the sounds.","negative"
"Great sound and better than Siri","I like the great sound quality and it’s a great improvement from our previous speaker setup where we had to use an aux cable. I think it looks great and is aesthetically pleasing. I don’t like the fact I cannot use YT music through it yet, because I’m sure they want to sell Amazon Premium Music subscriptions. But being a prime customer there is still a wide range of music access with no ads. I just enabled whisper mode yesterday and seems like that’s a great addition to keep the kids asleep.","positive"
"Great that we can pair them together.","After some troubleshooting, it turns out that one of my Echo Plus devices had a connection issue and was cutting out. I was contacted immediately about the issue and a replacement will arrive two days from now. Looking forward to enjoying the setup when the replacement arrives. I can tell already that this is a big upgrade from the previous version.","positive"
"Great information tool","Home","positive"
"I love that it is nice and compact and includes the hub.","I've had problems trying to use all my smart devices with prior Echo devices, but this one was a breeze to setup and get all my devices connected to it.  I may just buy another one so I can have stereo sound.","positive"
"Love love love it","Love it but have a few issues with sound","positive"
"We're having a lot of fun","Us kids gave Dad this echo plus to help him out. We ask it many questions. Play a little music on it. Have a lot of problem getting the old music. Usually when you ask Alexa for a song it brings up some modern garbage. We're working on the way we ask Alexa. We got the Phillips Hue in a few rooms and Dad just gets a kick out of the lights coming on just by talking. It helps us because I'm pushing him in a wheelchair. Mostly we're just having a lot of fun. I look forward to purchasing other items for Alexa. We got the echo dot 3rd gen. as well. Just one little complaint is that the microphone doesn't seem to be the best. Sometimes we have to outright yell at Alexa.","positive"
"Looks great in the living room","Very easy to install!","positive"
"Great sound. Versatility is lacking.","Sound quality is very good, with the subwoofer rounding out the bottom in a way smaller speakers cannot. I placed an order before the release date. At that time, there was no mention that when used as a stereo pair, bluetooth and line out capability would not be possible. About all you can use this system for is music through the Alexa app. This is okay for people who don't want to listen to a specific album, but if you do it can be frustrating. You will need to be on the website to see the exact name, and then request it by voice. Often Alexa gets it right, but sometimes not.  Connecting was not too hard, but follow the instructions. My subwoofer lost connection once so far, but after unplugging and replugging, has worked well. The richness and fullness that the subwoofer adds, along with the stereo sound of the two Echo Plus speakers makes for a very satisfying music experience. However, I am a little disappointed at the lack of versatility. I am hoping that a fix can be found.  I tried the calling feature, and it worked pretty well. However, the Alexa app on my phone seemed to drain the battery, and the phone was alarmingly hot to the touch. In Applications Manager, my phone showed that Alexa had used 13% of the battery since last charge. Within 2 to 3 hours of charging, my phone would be down to 40 to 50%. I uninstalled the app, and my phone seems to work the way it used to. I may trying reinstalling before I give up on it.  All in all, I am enjoying the system, though there are shortcomings. Once you have the music you want to listen to, you will probably be surprised at how good it sounds. I have listened to many hours of different types of music, and find the sound to be quite satisfying.","positive"
"works well","built in bridge","neutral"
"Less sensitive voice commands","Love the the plus but the voice pick up seems to be less sensitive than the first gen equipment. I find myself having to repeat the commands and sometime it can be agrivating.","neutral"
"Thanks","Nice!  Haven’t gotten it set up yet but can’t wait","positive"
"Not ready for Prime!!","Not ready for prime time. Very very bogus, full of glitches... if you want to use as stereo pair or 2.1 with subwoofer stay away for now...","negative"
"Great and better if you have more echos.","Worked well. Definitely worth getting the stereo pair. Can pair the stereo pair with multi room speakers for ultimate winning. Basically have an echo in every room now.","positive"
"Good unit","Has alexa built in","positive"
"She runs a tempertauture.  ?Local hub finction?","I purchased Alexa Plus (gen 1) the day it came out and now this (gen 2) Plus Hub.  I'll not rehash that experience so Amazon will not call me again.  OK if you don't have one of these Hubs they are cool and I like over Wink, GE and Hue.  Hue hub I gave away but still use Wink for Zwave and Stanley locks.  I run all the switches and WiFi off Alexa/Echo hub.  Now I have Alexa both gen 1 and 2 hubs running.  Good news this one just sync's-up and no issues so far.  So why did I purchase this well for temperature sensor and most important stand alone automation when WEB is down. Temperature works great if you wish to know as she runs 1.5 to 5 degrees hotter then the room when in use especially if you are enjoying the my opinion improves sound quality. So great if you want to take her temp but a word of caution if you are running heating/cooling automation off her reading alone.  As for standalone light controller when internet is out also, guess that is some enhancement as I couldn't get it to work just got the typical RED ring.  Why 4 stars, 1 because it is cool, 2 because it works kind-of, 3 because I purchased it after know what gen 1 was like out of the box and 4 so Amazon won't call asking me about my review.  Really is a fun great product nice new Android App update is what I use as the main driver for home automation after giving up circa 1978 X10/BSR system till a few years ago. Why not 5 stars?  I'll save that for when the product reaches the hype. I purchased not for what it can't do now but what it can do in the future. Except for new looks I have experienced nothing to praise over the older hub so far.","negative"
"Great unit!","Great sound and it's a lot of fun!","positive"
"It's spyware in a box.","If you want amazon collecting everything you say -- your most intimate moments with family and friends, or alone -- buy this device. Otherwise save yourself the horrors of when the data gets leaked.","negative"
"Received this as a gift!  We are enjoying the many different features of this product!","This is so much fun to use!  We received it as a gift and never realized how much you can actually do with it!  The music is great!","positive"
"sound","music keeps stoping after a couple of hrs. no matter want is steaming . tried to have support fix it no luck .I get tranfered over seas. no help piece of junk","negative"
"Not even close....","I paired this with the new Sub and if you turn it up all the way its not as much Bass as you would think and the echos distort. Returned all 3 after 4hrs of setting up. I wanted to pair this with my TV but only 1 echo and the sub not all 3 would work. You would be better off getting a cheap echo and a nice soundbar with a sub which is what i look to do now.","negative"
"Really cool","I have had the echo dots in every room of the house. My son wanted to get this for the kitchen. The sound is awesome! I’m very happy with it. Actually, (no idea why) I didn’t even have to set it up. I turned it on and opened my Alexa app and it automatically added itself. The damnedest thing. Anyhoo, really cool. Linked up with all my other items except the Fire TV. That thing won’t link with anything. 😡","neutral"
".","So far I like it. Hadn’t had much time to mess with it.","neutral"
"Horribly, horribly glitchy.","Saying the device I received was buggy is an understatement. Within a few minutes, it stopped being able to respond to requests. “Sorry, something went wrong.” What went wrong? No indication from the device or in the app. “Sorry I didn’t get that.” I’m two feet in front of it, and it can’t understand yes, no, or stop. Had to unplug it to stop music playback. It seems like after a minute or two of use, it just falls apart. Meanwhile my other Echo Dots have been without any issues since day one. Looking at other comments, I’m guessing I got a dud - really disappointing considering the price.","negative"
"You should have purchased it yesterday","Other than getting the wrong color...this steroids setup is incredible...much closer to audiophile sound than the Googke Max, Apple Home or the Sonos Speakers","negative"
"Echo plus","Great packaging! And great product","positive"
"Echo Plus is awesome","Echo Plus with built in hub is a terrific value.Setup and startup was a breeze.","positive"
"Three Stars","having difficulty connecting to Amazon after three days--it is still not connected.","neutral"
"Great Sound","Easy set up and am surprised how well Alexa understands.","positive"
"Fun new toy.","It’s actually quite fun and helpful when you have friends over and you’re cooking.","positive"
"Great sound quality!","Looks like and sounds like exactly what I wanted. An Echo primarily for sound quality to use outside on  a covered lanai at my home.“Alexa, connect to my iPhone” Then playing any music on my playlist that I like. Great product,  very happy with it!!!","positive"
"Does Not Play “My Briefings” in “Everywhere” Mode","I’m only writing this in hopes that Amazon reads this and makes this change/update to the Amazon Echo Plus. I really love the “Start My Day” feature but I play it in the morning when I’m getting ready and doing my morning routine around my house. I bought 3 echo dots so that I could listen to “Start My Day” throughout the house in multiple rooms while showering, eating breakfast, getting dressed, etc. Except, you cannot play “Start My Day” in “everywhere” mode like you can music. Meaning, I can play music simultaneously on every Echo in my home but I cannot play “Start My Day” simultaneously on every Echo in my home. This is a really bigger downer for me that makes my Echo’s less valuable to me. I wish amazon would fix this and make an update available because it’s an easy fix seeing as Echo is already capable of playing music in “everywhere” mode. I hope amazon reads it’s customer reviews and makes this change.","negative"
"Awesome","Works great, great sound.","positive"
"Family loves it.","We love tbe new Echo. My boys enjoy asking questions and the sound quality is much higher than expected.","positive"
"Love it!","I love playing my music, the sound is awesome!!","positive"
"Like it","The only drawback is that it needs to be plugged in all the time.","neutral"
"Audio is way too bass heavy","Audio is way too bass heavy and muddled for news radio. Even with bass turned completely off in EQ app, it is terrible for spoken word content. I’m an experienced pro audio guy and this is just not good. Also, the volume of Alexa voice response should be capable of being set independently of the program volume. It’s early morning and I’m speaking very quietly to the echo device but its responses are blasting (even with the volume set low). But good while others are sleeping. Perhaps there is a way to do this but not obvious to me yet. I also miss the manual volume control ring in the original Echo device. It works better than the + and - controls. On a positive note, it is pretty sensitive to voice commands.","negative"
"Get a different set up.  Save your money.","I've drank the Kool-Aid, I have an echo device in almost every room of my house and I have home automation controlled by Alexa throughout.  I was excited to see this echo sub, even more so when they released a bundle with the Echo Pluses...but this note was not in the original description, Sub only supports music playback over your wireless network, and does not support Bluetooth, 3.5mm AUX in, or TV/video.I don't know how any reviewers can be so thrilled with such limited options.  Mark completely missed for me, so disappointed because I wanted to love this bundle.  Returned.","negative"
